A(DEC)	B(DEC)	Cin(DEC)	SUM(DEC)	A(BIN)			B(BIN)			Cin(BIN)	SUM(BIN)
14002	32366	1		46369		0011011010110010	0111111001101110	1		01011010100100001
33525	38144	0		71669		1000001011110101	1001010100000000	0		10001011111110101
58948	39713	1		98662		1110011001000100	1001101100100001	1		11000000101100110
51992	51617	0		103609		1100101100011000	1100100110100001	0		11001010010111001
34539	29263	1		63803		1000011011101011	0111001001001111	1		01111100100111011
46928	34131	1		81060		1011011101010000	1000010101010011	1		10011110010100100
19621	21109	1		40731		0100110010100101	0101001001110101	1		01001111100011011
21620	1390	0		23010		0101010001110100	0000010101101110	0		00101100111100010
16125	44179	0		60304		0011111011111101	1010110010010011	0		01110101110010000
10906	35920	0		46826		0010101010011010	1000110001010000	0		01011011011101010
